token_type,token_address,receiver,amount,id
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xC8499D0311CA31A60e11D58A5A7e4F1C24B95575,76614,marks-0xc8499d0311ca31a60e11d58a5a7e4f1c24b95575
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x0cd7E1660D63a6aEbDA782a2Eb7f2875716aC3E8,76133,marks-0x0cd7e1660d63a6aebda782a2eb7f2875716ac3e8
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xDD0CDF8D98d9Ad3ADfaa49AaECD444Bfa01d9C9a,74923,marks-0xdd0cdf8d98d9ad3adfaa49aaecd444bfa01d9c9a
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x8AcF2f327e47FdDD1124a55eb4eFC1DfdAcAA34c,74569,marks-0x8acf2f327e47fddd1124a55eb4efc1dfdacaa34c
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xC0ffeEBABE5D496B2DDE509f9fa189C25cF29671,74343,marks-0xc0ffeebabe5d496b2dde509f9fa189c25cf29671
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x1e085ff3CdD38b1E5F04Ace2345966056F0C85E4,74205,marks-0x1e085ff3cdd38b1e5f04ace2345966056f0c85e4
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xaC46415C44240C0087589BB8E0e29281DFcCd279,74071,marks-0xac46415c44240c0087589bb8e0e29281dfccd279
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xf1674FE69b2920b4de51E909cbf060dd78724CD8,73829,marks-0xf1674fe69b2920b4de51e909cbf060dd78724cd8
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xdd9c0BB1102D45357bEC81BbdffBb615D64C0ff9,73104,marks-0xdd9c0bb1102d45357bec81bbdffbb615d64c0ff9
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xc16A44D0759ec03c677E97eF020a2345d4dC27Fb,73043,marks-0xc16a44d0759ec03c677e97ef020a2345d4dc27fb
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x7F14A89F5333A334C0EA3B5AAA7Dc2c8E1C72de6,73043,marks-0x7f14a89f5333a334c0ea3b5aaa7dc2c8e1c72de6
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x50b3Bf1B3119afc37A25c841c06C1BDD05Da1Fab,73043,marks-0x50b3bf1b3119afc37a25c841c06c1bdd05da1fab
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xF7e64540f42094497E2De0F06232992b03942898,73043,marks-0xf7e64540f42094497e2de0f06232992b03942898
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x33abAf6F3D324c68140932903FCf108cfb0548B0,72811,marks-0x33abaf6f3d324c68140932903fcf108cfb0548b0
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x4382916a88b6eed40530ef47ded0d402563ddaca,72533,marks-0x4382916a88b6eed40530ef47ded0d402563ddaca
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x2f75E925C38f83785A7D0630f65Aed8C65C1454f,72483,marks-0x2f75e925c38f83785a7d0630f65aed8c65c1454f
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x343537cb9417f8953101c48daba965a99d09a39e,72264,marks-0x343537cb9417f8953101c48daba965a99d09a39e
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xF1e73F7d7656b9b00d970b58aaB3Bb19b5518060,72241,marks-0xf1e73f7d7656b9b00d970b58aab3bb19b5518060
